标题,链接,内容摘要
最低多少分能上广东第一名校“中山大学”?,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7222480849004921378%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7dafa8803075f607292e4d379eeca4369f3bd3943e4eae231fde9ecbc1d5c0b98e3b575cf75d77d0ba1c820cfebc4cde8,播放次数：11万次
中山大学介绍,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7252251941965824564%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e735acba31c01ee21177f60935e1ee767c790cd3bf0ec5a26fc9b39d60e46901cda726f54aa93ee2f14c3a1a6c7a77173b,播放次数：145次
马英九率台青访中山大学 邀请大陆师生回访台湾,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7353883240551154215%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7773f8fa360e8f6dad5365b86f547923c15e06853817fa8181c89c6534746d5e92fc560b3410cf750585e3590855e9264,播放次数：4056次
中山大学医学博士集体患癌，导师师承七三一部队，学校刻意隐真相,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7329134077963928100%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7eda78ca6d7e4fdca19a79cd644ffbfeb34e45663bc47e4667e371b7471737a51a34d609cba56db16c31d35a9f3bd74a8,播放次数：11万次
无人机航拍中山大学:广东人心目中可以光宗耀祖的省内最强高校,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7264962259242189367%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e75de5c53db4622464eba2f0f0e5975ca64808e25caf6a125fc3a0c1e3549e1fd62146a0a8265361b837eebfb6a020711c,播放次数：855次
南方人梦寐以求的学府中山大学!,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7354353798489309737%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7855f0d3a3b3e207cb75f8b8a3b4cd656dfca583927db06eb9bb7202dc6bfe81dc7d7b720bd745d1708a76dc8ba8a76a1,播放次数：78次
国家级72个、省级19个!就读中山大学，100%都是一流专业,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7110516353118913056%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e729bd33a47de77e545b5e8f719edb3245fc7b5d6ba8bf5b2ac1e8ede4bf111cdd47d2a8f210272da3c7c310688cc78ca8,近日，教育部公布2021年度国家级和省级一流本科专业建设点名单。中山大学再添27个国家级及省级一流本科专业。至此，中山大学共有72个专业入选国家...
马英九拜访中山大学现址而非华南理工大学原址的主要原因是什么?,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7352509533169648179%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7ca5f1828bf8162ff2d414eac0912c7425be1822a8a0bcee2fc5325ebf13d6e8dade3be5b3b5dc04fb0e76e5456683090,播放次数：4万次
大学介绍-中山大学,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7225215721381462568%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7a765faefe7ab3919795bdb7eb98e461ded69d566106c4740806b9ae675565324ee2be6a061481d316b899d69a583ae20,播放次数：327次
中山大学为何变身“双鸭山大学”?,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6435553853994942722%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7729be1cae1ed11f25e2a472f760e791b5dde58d916538823090c0c190695380eb492aee6e95ffc48af1f865f5dd433c8,它的本名叫中山大学，因英文校名“Sun Yat-sen University”的谐音神似“双鸭山”被一位网友翻译为“双鸭山大学”。始作俑者“云湖浪子YZ25T”就此...
考上中山大学很厉害吗?毕业后有机会去华为吗?本文有答案,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6903450587254456845%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7e235b2314700913c76dc1770ca0a4ea471341763a4494af8016be7e9675b16c13a118cfc3d05328006005d1998665728,中山大学是全国知名985高校，也是广东省实力最强的大学。那么，考上中山大学算厉害吗? 2021年高考多少分能上中山大学? 华为招中山大学学生吗?
数据会说话，中山大学与武汉大学谁的实力更强?,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7120793490178556455%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7b4eee98a25952aec1512dfb0948fb91ee3a993adc7b7cc86eff6a1fab194d735a94a456fc3783efe0d5b75302882004c,中山大学最近二十年确实落寞了，已经被冠上了“双鸭山大学”的绰号了;武汉大学起码可以对得起自己的声誉。学科实力方面 在第四轮学科评估中，武汉...
中山大学发布讣告，著名历史学家林家有教授辞世,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7302771316510196239%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e78b7d55881601c2e856961ca2dfd9b216191aa253153441d003c39774f731cb7116a92bfa777695a93487588b50f314e2,11月17日，中山大学发布讣告:我国著名历史学家、中山大学历史学系退休教师林家有教授因病于2023年11月16日下午在广州辞世，享年86岁。
中山大学环境科学与工程学院-百科,https://so.toutiao.com/search/jump?url=https%3A%2F%2Fwww.baike.com%2Fwiki%2F%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%25E7%258E%25AF%25E5%25A2%2583%25E7%25A7%2591%25E5%25AD%25A6%25E4%25B8%258E%25E5%25B7%25A5%25E7%25A8%258B%25E5%25AD%25A6%25E9%2599%25A2%2F895040%3Fquery%3D%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%26search_id%3D2024042616125265E1C49DAEE396DEF878%26result_type%3Dbaike_v2%26search_result_id%3D-1577161168937151248%26enter_from%3Dsynthesis%26baike_source%3Dtoutiao_search&aid=4916&jtoken=158141073c072192824ae1a6e4901a6e42860858303bb94b618699b04746b56dd6cfd45e66907e5ad303ac60d3437ff4c7f8c7b98c1c1ddaf2f405f5af158094817572c5082ead5395d81ca8b7d851b1168eddd4530dfbbd250b24b0bf7cd380a12b9449d0d027bcc31b01e37259fab24482c55047de229900f221dd14257d65117a801e4338aaa5e99070a88a599c61cc5481ea3eba40307bb99ba91ca1a32524b17fd3632696abfe9a1f13524ebe45,中山大学环境科学与工程学院是2002年10月由原中山大学地球与环境科学学院的环境科学研究所、环境科学系、大气科学系、季风与环境研究中心等单位组建而成的学院。介绍 学...
国立第一中山大学(1926年创立的综合公立大学)-百科,https://so.toutiao.com/search/jump?url=https%3A%2F%2Fwww.baike.com%2Fwiki%2F%25E5%259B%25BD%25E7%25AB%258B%25E7%25AC%25AC%25E4%25B8%2580%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%2F2367839%3Fquery%3D%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%26search_id%3D2024042616125265E1C49DAEE396DEF878%26result_type%3Dbaike_v2%26search_result_id%3D193503545883249743%26enter_from%3Dsynthesis%26baike_source%3Dtoutiao_search&aid=4916&jtoken=158141073c072192824ae1a6e4901a6ed48b3b8f1a9065b4dc1a0069102cbed2ead3a398e156864219c7cb86381219ec470bc9b91f08f16cb6f573c468a705d62ecf56323bcbd564cbf3e05a424fcc3066a4cf52764409f80c57521f8f2ed8bf4ba051725ef45d15f205450e2482d8cd8a5c82eb6e1356410a8cfb65010b526d,中山大学起初校名为国立广东大学，是孙中山先生于1924年亲手创办。是当时中国五大中央级国立中山大学之一，也是中国传播马克思主义的重要发源地之一，具有优良革命传统...
中山大学深圳校区(中山大学的组成校区（园）之一)-百科,https://so.toutiao.com/search/jump?url=https%3A%2F%2Fwww.baike.com%2Fwiki%2F%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%25E6%25B7%25B1%25E5%259C%25B3%25E6%25A0%25A1%25E5%258C%25BA%2F11873644%3Fquery%3D%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%26search_id%3D2024042616125265E1C49DAEE396DEF878%26result_type%3Dbaike_v2%26search_result_id%3D-5054116923749799885%26enter_from%3Dsynthesis%26baike_source%3Dtoutiao_search&aid=4916&jtoken=158141073c072192824ae1a6e4901a6e42860858303bb94b618699b04746b56dd6cfd45e66907e5ad303ac60d3437ff4c7f8c7b98c1c1ddaf2f405f5af1580943504b31ca96735b49e8e4a26efa859ee74b4f45517ac9a8ce511aa2192b69a9a41c23a4fe15218d1d4ad3f4876e0830953b342abbce4236667e37495df282302,中山大学深圳校区（Sun Yat-sen University Shenzhen Campus），位于深圳市光明区，是教育部直属“双一流”高校中山大学的主要组成校区之一，以医科、工科为主，拥有文...
中山大学珠海校区(国家重点综合性研究型大学)-百科,https://so.toutiao.com/search/jump?url=https%3A%2F%2Fwww.baike.com%2Fwiki%2F%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%25E7%258F%25A0%25E6%25B5%25B7%25E6%25A0%25A1%25E5%258C%25BA%2F1063292%3Fquery%3D%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%26search_id%3D2024042616125265E1C49DAEE396DEF878%26result_type%3Dbaike_v2%26search_result_id%3D-6646103011963014749%26enter_from%3Dsynthesis%26baike_source%3Dtoutiao_search&aid=4916&jtoken=158141073c072192824ae1a6e4901a6e42860858303bb94b618699b04746b56dd6cfd45e66907e5ad303ac60d3437ff4c7f8c7b98c1c1ddaf2f405f5af1580944a96567d72d0fc651fdaf3ae5f9b279ecfc9b3992f4ca39bb0830c23ff20503c29190f97f7a143e661db4dd71867dddebe65eb4864d0c810b26d8b8a397d3ec7,中山大学珠海校区（Sun Yat-sen University Zhuhai Campus）是国家重点综合性研究型大学，被誉为“南天一柱”。位于广东省珠海市唐家湾，地处珠江口西岸、南海之滨。校...
中山大学校徽(由姚友毅设计的校徽)-百科,https://so.toutiao.com/search/jump?url=https%3A%2F%2Fwww.baike.com%2Fwiki%2F%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%25E6%25A0%25A1%25E5%25BE%25BD%2F3818610%3Fquery%3D%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%26search_id%3D2024042616125265E1C49DAEE396DEF878%26result_type%3Dbaike_v2%26search_result_id%3D432097122364386175%26enter_from%3Dsynthesis%26baike_source%3Dtoutiao_search&aid=4916&jtoken=158141073c072192824ae1a6e4901a6e42860858303bb94b618699b04746b56dd6cfd45e66907e5ad303ac60d3437ff4c7f8c7b98c1c1ddaf2f405f5af1580945f0e8cb3f939d77640637f3d831274bc3ed9e16796e542eb1f6ce68742b4cc2fc8d30cbb27c3e8239a25e48eb72c4d68,中山大学校徽是中山大学的象征校徽历史 中山大学在八十多年的历史中，曾经使用过几种形式的校徽。现在的校徽于七十年校庆后开始使用，由该校艺术教育中心教师姚友毅先生...
中山大学法学院(公办高等院校)-百科,https://so.toutiao.com/search/jump?url=https%3A%2F%2Fwww.baike.com%2Fwiki%2F%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%25E6%25B3%2595%25E5%25AD%25A6%25E9%2599%25A2%2F894995%3Fquery%3D%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%26search_id%3D2024042616125265E1C49DAEE396DEF878%26result_type%3Dbaike_v2%26search_result_id%3D-194060004280876553%26enter_from%3Dsynthesis%26baike_source%3Dtoutiao_search&aid=4916&jtoken=158141073c072192824ae1a6e4901a6e42860858303bb94b618699b04746b56dd6cfd45e66907e5ad303ac60d3437ff4c7f8c7b98c1c1ddaf2f405f5af1580942fe5d321de4acebf3007b6b8eaee7eb65bf310c353554b06bbc8acfd8751af6a8786fbeb1edceb33158fec9dc8e247dea6f7b5b14c12b273dc03be5c02121f13,中山大学法学院肇始于1924年孙中山先生手创的国立广东大学法科。其历史还可上溯到1905年的广东法政学堂法律本科及其后的广东法科大学。1926年广东大学更名为中山大学，...
中山大学院系-百科,https://so.toutiao.com/search/jump?url=https%3A%2F%2Fwww.baike.com%2Fwiki%2F%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%25E9%2599%25A2%25E7%25B3%25BB%2F965112%3Fquery%3D%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%26search_id%3D2024042616125265E1C49DAEE396DEF878%26result_type%3Dbaike_v2%26search_result_id%3D6612324574921628916%26enter_from%3Dsynthesis%26baike_source%3Dtoutiao_search&aid=4916&jtoken=158141073c072192824ae1a6e4901a6e42860858303bb94b618699b04746b56dd6cfd45e66907e5ad303ac60d3437ff4c7f8c7b98c1c1ddaf2f405f5af1580945a08edb666f59dcb5eec758e6b888defebefa7ee60690662df2db73c909d4e81051a9763330ef323012284e5f652f1e1,中山大学院系，包括文科院系、理科院系两大类和若干小类。文科院系 人文科学学院 中国语言文学系历史学系、哲学系、人类学系 岭南学院 国际商务系、经济管理系、经济学...
中山大学心理学系(中山大学的系部)-百科,https://so.toutiao.com/search/jump?url=https%3A%2F%2Fwww.baike.com%2Fwiki%2F%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%25E5%25BF%2583%25E7%2590%2586%25E5%25AD%25A6%25E7%25B3%25BB%2F895007%3Fquery%3D%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%26search_id%3D2024042616125265E1C49DAEE396DEF878%26result_type%3Dbaike_v2%26search_result_id%3D4091402806595909735%26enter_from%3Dsynthesis%26baike_source%3Dtoutiao_search&aid=4916&jtoken=158141073c072192824ae1a6e4901a6e42860858303bb94b618699b04746b56dd6cfd45e66907e5ad303ac60d3437ff4c7f8c7b98c1c1ddaf2f405f5af158094924f9461e7b378456aa43611571b0a3b1258250418671fe9171078c356b71a0e0fd04fc37dc3ea10ab7309a802a7709886847107e318c70efdbb78fdf64d9299,中山大学心理学系和心理研究所于1927年8月成立并归属文史科，随后于1929年4月改属理科。首届系主任为著名心理学家、生理学家汪敬熙院士。1930年前后，随着汪敬熙教授的...
中山大学牌坊(广州中山大学的标志)-百科,https://so.toutiao.com/search/jump?url=https%3A%2F%2Fwww.baike.com%2Fwiki%2F%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%25E7%2589%258C%25E5%259D%258A%2F4839708%3Fquery%3D%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%26search_id%3D2024042616125265E1C49DAEE396DEF878%26result_type%3Dbaike_v2%26search_result_id%3D-2060634123821281803%26enter_from%3Dsynthesis%26baike_source%3Dtoutiao_search&aid=4916&jtoken=158141073c072192824ae1a6e4901a6e42860858303bb94b618699b04746b56dd6cfd45e66907e5ad303ac60d3437ff4c7f8c7b98c1c1ddaf2f405f5af15809423c45b8fb0c0d0a029912942453b7172658d77ec44aa4a74b334d00bba217e5708c58063ffa1a092aaa078383b99bb49,中山大学牌坊，简称“中大牌坊”，位于广州中大海珠校区（即南校区）北门、滨江东珠江南岸。整座门楼用钢筋三合土筑成，外饰面用花岗石砌成。前后石柱分两行，共分五门...
中山大学历史学系(1924年成立的学系)-百科,https://so.toutiao.com/search/jump?url=https%3A%2F%2Fwww.baike.com%2Fwiki%2F%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%25E5%258E%2586%25E5%258F%25B2%25E5%25AD%25A6%25E7%25B3%25BB%2F6316391%3Fquery%3D%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%26search_id%3D2024042616125265E1C49DAEE396DEF878%26result_type%3Dbaike_v2%26search_result_id%3D7812828534217680020%26enter_from%3Dsynthesis%26baike_source%3Dtoutiao_search&aid=4916&jtoken=158141073c072192824ae1a6e4901a6e42860858303bb94b618699b04746b56dd6cfd45e66907e5ad303ac60d3437ff4c7f8c7b98c1c1ddaf2f405f5af158094932a63442d972387e9020bce14f145acbdf910c23907a1d1d1d2fb90bb24d5636869efc221bb8237af8a6408e9b1a0edcdc42edd15313f4772da0d6e426731c3,中山大学历史学系成立于1924年，是中山大学最早设立的学系之一。多位中国现代史学的奠基人，如陈寅恪、傅斯年、顾颉刚、岑仲勉、梁方仲、刘节等，曾在本系任教，奠定了...
中山大学管理学院-百科,https://so.toutiao.com/search/jump?url=https%3A%2F%2Fwww.baike.com%2Fwiki%2F%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%25E7%25AE%25A1%25E7%2590%2586%25E5%25AD%25A6%25E9%2599%25A2%2F895001%3Fquery%3D%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%26search_id%3D2024042616125265E1C49DAEE396DEF878%26result_type%3Dbaike_v2%26search_result_id%3D8831187823025379678%26enter_from%3Dsynthesis%26baike_source%3Dtoutiao_search&aid=4916&jtoken=158141073c072192824ae1a6e4901a6e42860858303bb94b618699b04746b56dd6cfd45e66907e5ad303ac60d3437ff4c7f8c7b98c1c1ddaf2f405f5af1580943c5a408f746c87598d6ed733f51787bcc149a10c6b6442d48128f6df8b22687689c830375e8c4a92b5c5d0912ff0f12dbe842071c7b8625e6e714c1a25f6c177,中山大学管理学院（SunYat-senBusinessSchool）是中山大学二级学院，成立于1985年。中山大学管理学院是中国国内第二家、华南第一家同时获得AACSB、EQUIS、AMBA三项国际....
中山大学数学系(中山大学二级院系)-百科,https://so.toutiao.com/search/jump?url=https%3A%2F%2Fwww.baike.com%2Fwiki%2F%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%25E6%2595%25B0%25E5%25AD%25A6%25E7%25B3%25BB%2F6758988%3Fquery%3D%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%26search_id%3D2024042616125265E1C49DAEE396DEF878%26result_type%3Dbaike_v2%26search_result_id%3D-6887352614349241918%26enter_from%3Dsynthesis%26baike_source%3Dtoutiao_search&aid=4916&jtoken=158141073c072192824ae1a6e4901a6e42860858303bb94b618699b04746b56dd6cfd45e66907e5ad303ac60d3437ff4c7f8c7b98c1c1ddaf2f405f5af1580947ff221c4c79fee75f292bb85fefbfadf4ac8cd9e421a92eecefefb912a2db60f6dcb5086fbe6fd28204cf73907d363d1bfd031b2fa7e70fdec3347111b4eabd6,1998年，经国务院学位委员会批准，数学成为中山大学校具有博士、硕士学位授予权的一级学科。本专业现有在职专任教师共47人，其中43人拥有博士学位，约占教师总数的91%；...
中山大学化学学院-百科,https://so.toutiao.com/search/jump?url=https%3A%2F%2Fwww.baike.com%2Fwiki%2F%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%25E5%258C%2596%25E5%25AD%25A6%25E5%25AD%25A6%25E9%2599%25A2%2F19979804%3Fquery%3D%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%26search_id%3D2024042616125265E1C49DAEE396DEF878%26result_type%3Dbaike_v2%26search_result_id%3D6242255098770604603%26enter_from%3Dsynthesis%26baike_source%3Dtoutiao_search&aid=4916&jtoken=158141073c072192824ae1a6e4901a6e42860858303bb94b618699b04746b56dd6cfd45e66907e5ad303ac60d3437ff4c7f8c7b98c1c1ddaf2f405f5af1580941c3d1a517e5510af24f280bd582aa98474bf7c9f5b0630c4da010ff93daac8ec0fd487a098b967db427f55429620c2421f9057b05f0e24e366b179f2285b9cde,中山大学化学学院（School Of Chemistry Sun Yat-sen University）是中山大学二级学院。中山大学化学与化学工程学院中山大学化学学院于2016年8月16日由更名而来，...
中山大学国际关系学院(中山大学二级学院)-百科,https://so.toutiao.com/search/jump?url=https%3A%2F%2Fwww.baike.com%2Fwiki%2F%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%25E5%259B%25BD%25E9%2599%2585%25E5%2585%25B3%25E7%25B3%25BB%25E5%25AD%25A6%25E9%2599%25A2%2F20607993%3Fquery%3D%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%26search_id%3D2024042616125265E1C49DAEE396DEF878%26result_type%3Dbaike_v2%26search_result_id%3D-9032828703016951796%26enter_from%3Dsynthesis%26baike_source%3Dtoutiao_search&aid=4916&jtoken=158141073c072192824ae1a6e4901a6e42860858303bb94b618699b04746b56dd6cfd45e66907e5ad303ac60d3437ff4c7f8c7b98c1c1ddaf2f405f5af158094be384702b8cd2150745ff0815772c49e6e8ad5e7c6f61c5d785b363ad9557f6864b03e1839c9d16ba2c0886bd7505c71b56b4ee0ac540f648291001e9d7b1935f3651d85459ae67f6c4e3c4ad273745a,中山大学国际关系学院学科历史悠久。从1924年孙中山先生“手创”中大到1952年院系调整，在中大执教的先驱名家就对外交、世界局势，尤其是中国与当时世界的关系有许多深...
中山大学药学院(中山大学的院系之一)-百科,https://so.toutiao.com/search/jump?url=https%3A%2F%2Fwww.baike.com%2Fwiki%2F%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%25E8%258D%25AF%25E5%25AD%25A6%25E9%2599%25A2%2F621226%3Fquery%3D%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%26search_id%3D2024042616125265E1C49DAEE396DEF878%26result_type%3Dbaike_v2%26search_result_id%3D3028467966533161433%26enter_from%3Dsynthesis%26baike_source%3Dtoutiao_search&aid=4916&jtoken=158141073c072192824ae1a6e4901a6e42860858303bb94b618699b04746b56dd6cfd45e66907e5ad303ac60d3437ff4c7f8c7b98c1c1ddaf2f405f5af158094f2ad383b62cd57d75ec7b3e4745788852bed2e95720012210d80390449fccb7cf27ad18e84849561a6891ed9a8f58c5e65f09043b3b002bde74b423e0676f640,中山大学药学院是中山大学的院系之一，是以1995年9月成立的中山大学生命科学学院药学系为基础，整合了化学与化学工程学院以及中山医学院相关药学资源，以中山大学的综合...
中山大学获校友捐赠1亿元,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7358841022770119209%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7c4fdbdcd1e4224884143ef6f680cc49e9666f80d49b3a04f035a26dd13cb5e862c196558962a6a683afe53b077c49349,中新网广州4月17日电 (记者 许青青)中山大学今年迎来百岁华诞。17日，中山大学校友伉俪林斌、刘向东向中山大学捐赠1亿元庆祝母校百年华诞。
中山大学国家保密学院(中国第三所国家保密学院)-百科,https://so.toutiao.com/search/jump?url=https%3A%2F%2Fwww.baike.com%2Fwiki%2F%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%25E5%259B%25BD%25E5%25AE%25B6%25E4%25BF%259D%25E5%25AF%2586%25E5%25AD%25A6%25E9%2599%25A2%2F5084938%3Fquery%3D%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%26search_id%3D2024042616125265E1C49DAEE396DEF878%26result_type%3Dbaike_v2%26search_result_id%3D-7763755828369382503%26enter_from%3Dsynthesis%26baike_source%3Dtoutiao_search&aid=4916&jtoken=158141073c072192824ae1a6e4901a6e42860858303bb94b618699b04746b56dd6cfd45e66907e5ad303ac60d3437ff4c7f8c7b98c1c1ddaf2f405f5af158094458434b9fef753b84f06f03c872eae9916c69040a926a9ad33cccfc38be28abb779d93e68026ef25c9f171344358c2fe60103bcd442a78aeedeb0bf465085577935d58f195d69466263b5e2341dcca07,2010年12月25日，中山大学国家保密学院暨国家保密教育培训中心广州分基地举行揭牌仪式，中共中央保密办主任、国家保密局局长夏勇，广东省委副书记、省纪委书记、省委保...
中山大学岭南（大学）学院(经济学类院校)-百科,https://so.toutiao.com/search/jump?url=https%3A%2F%2Fwww.baike.com%2Fwiki%2F%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%25E5%25B2%25AD%25E5%258D%2597%25EF%25BC%2588%25E5%25A4%25A7%25E5%25AD%25A6%25EF%25BC%2589%25E5%25AD%25A6%25E9%2599%25A2%2F7829466%3Fquery%3D%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%26search_id%3D2024042616125265E1C49DAEE396DEF878%26result_type%3Dbaike_v2%26search_result_id%3D7803772457382420194%26enter_from%3Dsynthesis%26baike_source%3Dtoutiao_search&aid=4916&jtoken=158141073c072192824ae1a6e4901a6e42860858303bb94b618699b04746b56dd6cfd45e66907e5ad303ac60d3437ff4c7f8c7b98c1c1ddaf2f405f5af158094917572a03c9683b2ef73121b65b4151a499d1852e5e7b195a280672fe0acfe84c9253d8bee179b6d127a30fdf4e8f0867ce87b80d323e377efd57c118024e6ee7950ec40735986a4ddfafb452fb6f3870823bdb469d3ae1e233d599461a44b50,中山大学岭南（大学）学院隶属于中山大学，创立于1988年，与成立于120多年前的岭南大学有着深厚的历史渊源。2010年学院通过了AMBA和EQUIS国际认证，成为国内第二家获得A...
中山大学材料学院(中山大学的二级学院)-百科,https://so.toutiao.com/search/jump?url=https%3A%2F%2Fwww.baike.com%2Fwiki%2F%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%25E6%259D%2590%25E6%2596%2599%25E5%25AD%25A6%25E9%2599%25A2%2F22169304%3Fquery%3D%25E4%25B8%25AD%25E5%25B1%25B1%25E5%25A4%25A7%25E5%25AD%25A6%26search_id%3D2024042616125265E1C49DAEE396DEF878%26result_type%3Dbaike_v2%26search_result_id%3D-1092735321246468068%26enter_from%3Dsynthesis%26baike_source%3Dtoutiao_search&aid=4916&jtoken=158141073c072192824ae1a6e4901a6e42860858303bb94b618699b04746b56dd6cfd45e66907e5ad303ac60d3437ff4c7f8c7b98c1c1ddaf2f405f5af1580942427c7557e0d41f5e95a96eb9bc4f9f1dce2496a23545bcae5fe7647c92e3ce1443fccb90b4e1dabf8d6834b14f43f70a6b92ef883393d5fc82340db2b87a48b,中山大学深圳校区学院之一。2015年11月，中山大学与深圳市政府签署合作协议，市校合作通过10年左右的努力，将深圳校区建成具有中国特色、传承中山大学办学传统，具有世...
