标题,标题链接,摘要,来源,时间
美容仪成烫手山芋？知名品牌改头换面、线上清仓,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fstyle.cctv.com%2F2024%2F02%2F28%2FARTIldrJnh5KbGgZStgQNQ9e240228.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D9,"
		                        								                        							
		                        									                        							其备案的内容为""一项评估射频皮肤治疗仪用于减轻皮肤皱纹、治疗皮肤松弛、紧致皮肤组织的安全性和有效性的前瞻性、随机对照、评价者盲、多中心、优效性设计的临床试验""，备案时间为2023年3月，为该品牌做临床试验的机构为中山大学附属第三医院		                        						",来源：时尚,发布时间：2024-02-28 09:48:50
中山二院官方回应“乳腺外科团队多人患癌”：近年有3人患癌，无在读学生,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2023%2F11%2F08%2FARTICuK5WPTniqKIX8v6YeHX231108.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D9,"
		                        								                        							
		                        									                        							央视网消息：据中山大学孙逸仙纪念医院微信公众号消息，11月8日，中山大学孙逸仙纪念医院发布情况说明。		                        						",来源：新闻,发布时间：2023-11-08 02:31:31
大学校园成公园引热议，高校开放的度在哪？,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2024%2F03%2F22%2FARTIL46J84t9fGwMvOIf0dqy240322.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D10,"
		                        								                        							
		                        									                        							2017 年，中山大学曾因有校外人士影响上课秩序，发布""限外令""。去年，北京大学通报，有校外研学团队联系部分校友，通过预约同行人员的方式，违规进校。		                        						",来源：新闻,发布时间：2024-03-22 12:16:38
低空经济如何影响未来生活,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2024%2F03%2F11%2FARTIZKojT6a6twG8qdm1rd2N240311.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D10,"
		                        								                        							
		                        									                        							在深圳市宝安区中心血站旁设立的无人机起降点，搭载着血液和血液制品的丰翼无人机不时腾空而起，飞往中山大学附属第七医院、松岗人民医院等7家医院。　　		                        						",来源：新闻,发布时间：2024-03-11 13:40:44
低空经济如何影响未来生活,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2F5gai.cctv.com%2F2024%2F03%2F11%2FARTIIxOM0pI4rR2rp99eW84k240311.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D10,"
		                        								                        							
		                        									                        							在深圳市宝安区中心血站旁设立的无人机起降点，搭载着血液和血液制品的丰翼无人机不时腾空而起，飞往中山大学附属第七医院、松岗人民医院等7家医院。  		                        						",来源：数智频道,发布时间：2024-03-11 10:30:16
低空经济如何影响未来生活,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fjingji.cctv.com%2F2024%2F03%2F11%2FARTIHfpYdnuBJdsMWtFEd2vD240311.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D10,"
		                        								                        							
		                        									                        							在深圳市宝安区中心血站旁设立的无人机起降点，搭载着血液和血液制品的丰翼无人机不时腾空而起，飞往中山大学附属第七医院、松岗人民医院等7家医院。　　		                        						",来源：经济,发布时间：2024-03-11 06:18:17
实施“分线管理”  横琴粤澳深度合作区正式封关运行,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Flocal.cctv.com%2F2024%2F03%2F01%2FARTIB08lEoYAicmXOSNN2nFo240301.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D10,"
		                        								                        							
		                        									                        							中山大学区域开放与合作研究院院长毛艳华认为，大湾区内有三个关税区，背后是三种法律体系，实现人流、物流、资金流、信息流畅通流动，是粤港澳大湾区建设一流湾区和世界级城市群的重中之重。		                        						",来源：地方频道,发布时间：2024-03-01 18:12:45
广州体育学院党委原书记许宗祥接受审查调查,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2023%2F12%2F28%2FARTIhrcr5cTTLHffxvSRI0mX231228.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D10,"
		                        								                        							
		                        									                        							历任中山医科大学党委常委、副校长，中山大学党委常委、副校长，广州体育学院党委副书记、院长，广州体育学院党委书记。2017年3月退休。		                        						",来源：新闻,发布时间：2023-12-28 08:32:23
广州南沙“船撞桥”事故原因初步查明,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2024%2F02%2F23%2FARTIDf5ecrC5LyrC2j2vR6q9240223.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D10,"
		                        								                        							
		                        									                        							记者获悉，有3名受伤人员被送往中山大学附属第一医院南沙院区接受治疗。		                        						",来源：新闻,发布时间：2024-02-23 04:56:54
大学生助学金争议背后：谁才算贫困生？,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fedu.cctv.com%2F2023%2F11%2F20%2FARTI2AxrNhTfU1ShgWRlZr5W231120.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D10,"
		                        								                        							
		                        									                        							贫困生""过度消费高校终止发放助学金11月15日，中山大学学生资助管理中心发布一则情况通报：11月14日，中山大学学生资助管理中心收到关于我校家庭经济困难学生赵某某存在炫富和过度消费的举报，其所在学院和我中心迅速启动调查程序		                        						",来源：教育,发布时间：2023-11-20 15:49:32
中国人民银行公布2024年贵金属纪念币项目发行计划,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2023%2F12%2F07%2FARTIpBphuuw8dSzz3baPl4Xh231207.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D10,"
		                        								                        							
		                        									                        							中国纸币千年金银纪念币、2024吉祥文化金银纪念币、国家宝藏（启蒙奠基）金银纪念币、东北虎豹国家公园金银纪念币、应县佛宫寺释迦塔金银纪念币、2025版熊猫贵金属纪念币、2025中国乙巳（蛇）年贵金属纪念币、中山大学建校		                        						",来源：新闻,发布时间：2023-12-07 11:00:44
“网红城市”持续上新 如何将流量转化“留量”,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2024%2F03%2F11%2FARTIv1sC15AUW8HPsyC1XrDb240311.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D10,"
		                        								                        							
		                        									                        							中山大学旅游学院副教授黄琢玮分析。　　		                        						",来源：新闻,发布时间：2024-03-11 07:07:35
梁永琳 ║ 人间正春色 河山皆我有,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fyangbo.cctv.com%2F2023%2F12%2F07%2FARTIxg9JKv5EFOXZVapF6BrL231207.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D11,"
		                        								                        							
		                        									                        							梁永琳先生毕业于中山大学中文系，多年从事文艺副刊编辑工作。		                        						",来源：艺术,发布时间：2023-12-07 14:37:37
高校图书馆怎样提升吸引力,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fedu.cctv.com%2F2024%2F03%2F20%2FARTIPkRT497nZLAW8eEH82ge240320.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D11,"
		                        								                        							
		                        									                        							记者又查阅了中山大学图书馆2019年至2022年的图书外借总量，分别约为68万册、52万册、37万册。相关数据显示，昆明医科大学、西南科技大学等高校图书借阅量同样逐渐减少。		                        						",来源：教育,发布时间：2024-03-20 09:19:22
高校图书借阅量缘何不断下降？大学生不爱读书了？,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fedu.cctv.com%2F2024%2F03%2F19%2FARTIobD1UQlN9x1le2PcQQwY240319.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D11,"
		                        								                        							
		                        									                        							记者又查阅了中山大学图书馆2019年至2022年的图书外借总量，分别约为68万册、52万册、37万册。相关数据显示，昆明医科大学、西南科技大学等高校图书借阅量同样逐渐减少。		                        						",来源：教育,发布时间：2024-03-19 09:48:04
第十一届范敬宜新闻教育奖颁发,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2023%2F11%2F06%2FARTIL1WHlpikP3TplVwYlbQA231106.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D11,"
		                        								                        							
		                        									                        							中国人民大学教授胡文龙，北京大学新闻传播学院教授、中央民族大学特聘教授程曼丽获新闻教育良师奖；人民日报社（上海分社）高级记者李泓冰获新闻教育良友奖；南京大学付思涵、中山大学胡世鑫、中国社会科学院大学李沐芸等		                        						",来源：新闻,发布时间：2023-11-06 05:48:51
接下来将推动深化高校腐败治理，6名中管高校纪委书记表态,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2024%2F01%2F11%2FARTIR0cs1Mo7qrbRhpubW5cw240111.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D11,"
		                        								                        							
		                        									                        							文章先后摘录了山东大学党委副书记、纪委书记、国家监委驻山东大学监察专员陈向阳，浙江大学党委副书记、纪委书记、国家监委驻浙江大学监察专员黄翔峰，中山大学党委副书记、纪委书记、国家监委驻中山大学监察专员刁振强		                        						",来源：新闻,发布时间：2024-01-11 14:36:40
广东省海洋文化遗产科技联盟成立,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Focean.cctv.com%2F2023%2F12%2F06%2FARTICvUuUQDX2AkRYSA6B5ZN231206.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D11,"
		                        								                        							
		                        									                        							广东省文物考古研究院、广东省博物馆、广州海洋地质调查局、广州市文物考古研究院、广东海上丝绸之路博物馆、广州海事博物馆、南方海洋科学与工程广东省实验室（珠海）、中山大学海洋科学学院等八家联盟发起单位共同签署章程		                        						",来源：海洋,发布时间：2023-12-06 15:35:11
堵塞选举制度漏洞方能充分落实“爱国者治港”——访中山大学粤港澳发展研究院常务副院长何俊志,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F02%2F20%2FARTI4Gz5czFe0h9wk4NsVshM210220.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D11,"
		                        								                        							
		                        									                        							”全国港澳研究会副会长、中山大学粤港澳发展研究院常务副院长何俊志近日接受新华社记者专访时说。		                        						",来源：新闻,发布时间：2021-02-20 17:04:13
坚持稳中求进、以进促稳、先立后破（推动高质量发展 实现经济行稳致远）,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2024%2F02%2F28%2FARTIPAC3wq3avydyiX2CTLZl240228.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D12,"
		                        								                        							
		                        									                        							中山大学教授赵昌文表示，在新动能尚未形成、新模式还未确立之前，不能对改变旧动能、打破旧模式操之过急，要确保有条不紊，避免新旧动能转换之间出现空档期。尊重规律，稳扎稳打，才能实现最好效果。　　		                        						",来源：新闻,发布时间：2024-02-28 14:55:34
坚持稳中求进、以进促稳、先立后破（推动高质量发展 实现经济行稳致远）,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2024%2F02%2F28%2FARTICGmLucI8yJrjolQsaQOL240228.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D12,"
		                        								                        							
		                        									                        							中山大学教授赵昌文表示，在新动能尚未形成、新模式还未确立之前，不能对改变旧动能、打破旧模式操之过急，要确保有条不紊，避免新旧动能转换之间出现空档期。尊重规律，稳扎稳打，才能实现最好效果。　　		                        						",来源：新闻,发布时间：2024-02-28 10:26:15
我国科研人员提出靶向治疗阿尔茨海默病新思路,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2024%2F01%2F31%2FARTI8YF2PKvJW1UdFF0EeCOM240131.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D12,"
		                        								                        							
		                        									                        							该研究由中国科学院深圳先进技术研究院、中山大学中山医学院、北京大学深圳研究生院、瑞士洛桑大学等科研机构共同完成。		                        						",来源：新闻,发布时间：2024-01-31 23:29:19
聚焦新时代精神文明建设 “文明中国·看广州”研讨会在广州举办,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Flocal.cctv.com%2F2023%2F12%2F13%2FARTI6chj9eEXfYzqqKuYUsfJ231213.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D12,"
		                        								                        							
		                        									                        							中山大学新闻传播学院副教授周如南从传播规律的角度表示，现在是一个""内容为王""的时代，要用心做好内容。		                        						",来源：地方频道,发布时间：2023-12-13 20:33:58
第十一届范敬宜新闻教育奖颁发,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fedu.cctv.com%2F2023%2F11%2F09%2FARTI77ZtQqFxMmn7q87Hylc4231109.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D12,"
		                        								                        							
		                        									                        							中国人民大学教授胡文龙，北京大学新闻传播学院教授、中央民族大学特聘教授程曼丽获新闻教育良师奖；人民日报社（上海分社）高级记者李泓冰获新闻教育良友奖；浙江大学丁增尼达、南京大学付思涵、中山大学胡世鑫等11		                        						",来源：教育,发布时间：2023-11-09 15:59:05
冬季北方室内外温差大 小心呼吸道和心血管疾病,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2024%2F01%2F16%2FARTIEpAzt7rr8YDiHKHbdI5l240116.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D12,"
		                        								                        							
		                        									                        							中山大学附属第六医院全科医学科陈俊榕副主任医师提醒。　　室内外温差大，小心呼吸道和心血管疾病！　　屋内吃雪糕，屋外看雪景。冬季北方的室内外温差往往高达5℃-10℃，部分东北地区甚至可以高达20℃左右。		                        						",来源：新闻,发布时间：2024-01-16 10:29:07
百所高校学子银川行活动举行,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Flocal.cctv.com%2F2024%2F01%2F29%2FARTIUhWzhlqYTaulpsuYIYS7240129.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D12,"
		                        								                        							
		                        									                        							截至目前，银川市已在北京大学、清华大学、中山大学、西安交通大学等120余所高校聘任了近200名引才专员。		                        						",来源：地方频道,发布时间：2024-01-29 13:16:58
中国大市场观察,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2024%2F03%2F03%2FARTItfYm1LLphRsu3vaFiwpC240303.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D12,"
		                        								                        							
		                        									                        							中山大学国家发展研究院院长赵昌文表示，在中国共产党的坚强领导下，超大规模市场优势充分发挥，既能够集中力量办大事，也有利于分散风险；既有利于充分利用后发优势，也有利于形成先发优势；既有利于提升政府作用的有效性		                        						",来源：新闻,发布时间：2024-03-03 10:38:39
守好田园美景 留下难忘乡愁,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fculture-travel.cctv.com%2F2023%2F12%2F04%2FARTIdHg8ZXZa34PjOXoZPNsh231204.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D12,"
		                        								                        							
		                        									                        							中山大学阿者科计划第九批驻村人员吴诗雨介绍，近年来，阿者科村结合梯田文化和哈尼文化，推出了听哈尼古歌、弹奏哈尼传统乐器、梯田徒步、梯田抓鱼等特色项目，游客体验不断丰富，市民游客纷至沓来。""		                        						",来源：文旅美食,发布时间：2023-12-04 17:50:07
把助学金留给最需要的人,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2023%2F11%2F17%2FARTIUjVrd5tWPvztk9zE4DY7231117.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D13,"
		                        								                        							
		                        									                        							11月15日，中山大学深夜通报：经核查，学生赵某某被认定为家庭经济困难学生的认定程序规范、材料齐全，符合相关规定。但是在核查中发现，该生存在生活不节俭、过度消费的行为。		                        						",来源：新闻,发布时间：2023-11-17 13:41:22
【8点见】消费者抢购低价金项链后不予发货，大润发称价格异常,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2023%2F11%2F16%2FARTIDWAAsSDkFCWuvufqDOot231115.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D13,"
		                        								                        							
		                        									                        							中山大学回应：正全面调查核实。·官方通报网传国企领导别停客车：客车违规行驶，被国企员工非法拦截。·山东聊城16岁女孩轻生后被养父母配阴婚，警方回应：现有证据不足以立为辱尸案。		                        						",来源：新闻,发布时间：2023-11-16 08:00:05
时光里丨三万里外的鹦鹉洲,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2023%2F12%2F03%2FARTIINfCsH1N4nwSPkeRBBGE231203.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D13,"
		                        								                        							
		                        									                        							病情稳定后，查尔斯大使前往中山大学附属第一医院接受了冠脉介入治疗，后来每次回到多米尼克，都会去吴德熙的门诊复诊。		                        						",来源：新闻,发布时间：2023-12-03 13:06:00
大爱无疆 这位两度援非的“中国医生”用超高技术赢得赞誉,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2023%2F12%2F31%2FARTIs2RUEM95CqAYzzPjeMq3231231.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D13,"
		                        								                        							
		                        									                        							点赞中国医生 感谢光明天使　　今年是中国援外医疗队派遣60周年，也是广东中山大学中山眼科中心组织""光明行""援外医疗队，远赴""一带一路""共建国家和地区播撒光明10周年，他们曾16次远赴南太平洋、非洲等地开展		                        						",来源：新闻,发布时间：2023-12-31 17:03:43
各地各高校紧急启动地震灾害临时困难帮扶,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fedu.cctv.com%2F2023%2F12%2F22%2FARTI7pySehOjhf3gUTPKkoh8231222.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D13,"
		                        								                        							
		                        									                        							西南交通大学、北京邮电大学、中山大学等高校紧急开启专项困难补助申请发放通道，并简化申报程序，学生可直接登录网上平台提交申请，学校审核确认后第一时间通过银行卡为学生发放1000元—3000元不等的补助资金		                        						",来源：教育,发布时间：2023-12-22 12:03:55
【8点见】百名公办教师在民校任教？官方通报,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2023%2F11%2F17%2FARTIzIhyDo40sGNt8RHu4PZp231117.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D13,"
		                        								                        							
		                        									                        							·中山大学通报""贫困生炫富""：存在过度消费，终止发放助学金。　　·200多名公办教师在民办学校长期任教？重庆市大足区通报：存在教师混岗使用等不规范办学情况，将整改。　　		                        						",来源：新闻,发布时间：2023-11-17 08:00:27
《山水间的家》：躬耕田垄忆乡愁，音乐敲响幸福门,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Ftv.cctv.com%2F2023%2F11%2F10%2FARTIPkrmdrU2YXVEcoYIQXim231110.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D13,"
		                        								                        							
		                        									                        							本周的""山水之旅""，主持人撒贝宁、中山大学中文系教授彭玉平、影视演员关晓彤将走进花茂村，探寻这座曾经被叫做""荒茅田""的贫困村，如何蜕变成花繁叶茂的全国乡村旅游重点村？		                        						",来源：CCTV其他,发布时间：2023-11-10 18:18:54
濛溪河旧石器时代遗址等6个项目入选“2023年中国考古新发现”,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2024%2F01%2F31%2FARTImrbb4SBLrwpPYR22wtpW240131.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D13,"
		                        								                        							
		                        									                        							中山大学教授刘文锁介绍，中山大学、新疆维吾尔自治区文物考古研究所、吐鲁番学研究院于2021年开始联合考古发掘。		                        						",来源：新闻,发布时间：2024-01-31 09:37:30
